t,x_meters,y_meters
0.0333,0.3128,0.9632
0.0667,0.6173,1.4233
0.1000,0.3327,1.7676
0.1333,0.7597,2.2856
0.1667,0.3873,1.8040
0.2000,0.5362,1.6004
0.2333,0.2830,0.8540
0.3000,0.0745,1.3604
0.3333,0.4915,1.7960
0.3667,0.3402,0.2810
0.4000,0.5064,1.8536
0.4333,0.2284,1.2827
0.4667,0.4618,0.8879
0.5000,10.4764,4.8277
0.5333,0.4568,0.8352
0.5667,0.4513,1.1607
0.6000,0.7696,0.8209
0.6333,0.5136,0.8827
0.6667,0.8051,0.8393
0.7000,0.2334,1.1958
0.7333,0.0596,1.0096
0.7667,0.0348,1.0890
0.8000,18.5844,1.1817
0.8333,18.2865,0.8739
0.8667,0.0000,1.3273
0.9000,0.6802,0.3343
0.9667,0.2405,1.6125
1.0000,0.3625,1.6898
1.0667,12.4078,0.9401
1.1000,12.4078,0.9401
1.1333,12.4078,0.9401
1.1667,0.9964,0.8103
1.2000,12.4078,0.9401
1.2333,12.4078,0.9401
1.2667,2.1300,0.1390
1.3000,18.4156,1.6981
1.3333,1.1784,1.4283
1.3667,18.5683,0.9485
1.4000,18.4751,1.3770
1.4333,1.4895,0.9847
1.4667,2.3386,2.7722
1.5000,2.7755,2.9360
1.5333,18.3262,0.9136
1.5667,1.4250,1.0228
1.6000,4.0763,3.3382
1.6333,4.4885,3.4822
1.6667,4.9006,3.5865
1.7000,5.3325,3.6808
1.7333,5.7397,3.7652
1.7667,1.5342,0.8705
1.8000,6.5589,3.9191
1.8333,6.9660,3.9767
1.8667,1.1718,0.9053
1.9000,7.7580,4.0730
1.9333,18.6241,1.4937
1.9667,8.5648,4.1089
2.0000,8.9471,4.1277
2.0333,1.4945,1.3745
2.0667,9.7544,4.1177
2.1000,10.1487,4.0780
2.1333,10.5426,4.0429
2.1667,1.5243,1.3770
2.2000,11.3304,3.9439
2.2333,1.5711,1.3742
2.2667,1.0278,0.2185
2.3000,18.1772,0.0000
2.3333,12.8944,3.6322
2.3667,13.2916,3.5131
2.4000,1.0945,0.3215
2.4333,14.0661,3.2687
2.4667,14.4584,3.1098
2.5000,14.8556,2.9658
2.5333,1.5565,1.8369
2.5667,1.4846,0.3815
2.6000,1.4846,0.3815
2.6333,16.4466,2.2381
2.6667,1.5690,1.8536
2.7000,1.5739,1.8536
2.7333,10.3274,4.7632
2.7667,1.6037,0.7588
2.8000,1.0675,0.3476
2.8333,1.1271,0.2383
2.8667,1.5839,1.8400
2.9000,1.2711,1.4217
2.9333,1.1153,0.2449
2.9667,17.0949,0.9235
